Quadrante 0
Generation,Nevals,Min,Avg,Shift distance violations,Consecutive shift violations
1,64,3230.0,3801.7,329,505
2,70,3080.0,3543.6,308,522
3,71,3040.0,3354.9,304,482
4,67,2850.0,3197.0,285,512
5,65,2800.0,3057.0,280,511
6,69,2550.0,2958.5,255,483
7,70,2510.0,2821.2,251,493
8,74,2510.0,2686.4,251,495
9,76,2370.0,2572.8,237,492
10,71,2290.0,2498.3,229,505
11,74,2250.0,2410.5,225,497
12,69,2210.0,2312.8,221,501
13,70,2210.0,2264.7,221,498
14,72,2190.0,2227.8,219,506
15,65,2170.0,2208.4,217,507
16,75,2120.0,2200.2,212,507
17,69,2120.0,2172.5,212,507
18,73,2100.0,2139.1,210,502
19,57,2100.0,2121.0,210,503
20,64,2100.0,2112.8,210,505
21,65,2080.0,2101.8,208,500
22,64,2080.0,2098.8,208,501
23,63,2060.0,2093.1,206,500
24,62,2060.0,2081.4,206,499
25,64,2060.0,2077.0,206,497
26,59,2060.0,2064.4,206,498
27,72,2060.0,2060.4,206,501
28,71,2020.0,2059.6,202,495
29,66,2020.0,2058.3,202,495
30,79,2020.0,2052.0,202,497
31,63,2000.0,2031.8,200,495
32,65,2000.0,2019.0,200,495
33,61,1940.0,2013.0,194,494
34,66,1920.0,1988.1,192,493
35,64,1920.0,1961.0,192,493
36,70,1920.0,1940.5,192,494
37,62,1920.0,1926.6,192,493
38,69,1900.0,1920.3,190,493
39,67,1900.0,1917.8,190,493
40,63,1880.0,1907.7,188,492
41,67,1880.0,1896.6,188,490
42,63,1860.0,1886.7,186,489
43,65,1860.0,1879.0,186,490
44,63,1860.0,1872.7,186,492
45,67,1850.0,1862.9,185,491
46,58,1850.0,1859.7,185,491
47,70,1850.0,1857.1,185,489
48,67,1830.0,1851.5,183,488
49,68,1830.0,1850.8,183,488
50,71,1830.0,1841.9,183,488
51,66,1810.0,1832.9,181,491
52,71,1790.0,1826.7,179,492
53,66,1790.0,1815.0,179,492
54,63,1770.0,1806.3,177,491
55,64,1750.0,1794.6,175,491
56,70,1750.0,1776.4,175,491
57,68,1730.0,1761.6,173,491
58,67,1710.0,1746.8,171,490
59,61,1690.0,1730.6,169,490
60,75,1690.0,1719.7,169,490
61,72,1670.0,1708.1,167,490
62,71,1650.0,1698.8,165,491
63,60,1630.0,1685.4,163,491
64,66,1630.0,1666.7,163,491
65,73,1630.0,1647.6,163,489
66,66,1630.0,1636.7,163,492
