Latitude-longitude information,Name 
-22.9125977 -43.1830491,Ettal Informações Cadastrais
-22.9202467 -43.1895696,Nau Cultural
-22.919968 -43.18970900000001,ADUPLA Produção Cultural Ltda
-22.9203327 -43.1873776,|MODERNISTAS, HOSPEDAGEM E ARTE E ANEXO GALERIA DE ARTE|
-22.9167283 -43.1884407,Fábrica de Bolo Vó Alzira
-22.9150198 -43.1885778,House Cookie
-22.916612 -43.1883783,Vilar Pães
-22.9213177 -43.1895081,Armazém São Thiago
-22.9129285 -43.18195699999999,Restaurante Bar Brasil
-22.9214795 -43.18542559999999,Marcô Bar e Restaurante
-22.9213695 -43.1862946,Portella Bar e Restaurante - Santa Teresa / RJ
-22.914258 -43.18255,Bike Lapa
-22.9218249 -43.1857819,Largo das Letras
-22.9190771 -43.19081409999999,Das Raízes aos Frutos Sebo Cultural COMPRA E VENDA DE LIVROS REVISTAS USADAS E ANTIGUIDADES
-22.9149496 -43.1881124,Banca Sendas
-22.9212055 -43.1893997,Esquina de Santa Cafeteria & Pizzaria
-22.9239381 -43.1873691,ARES MOTOS
-22.914748 -43.184938,Luva Veículos
-22.9214994 -43.1870698,Transbordado Turismo
-22.9155006 -43.1897824,Transfer Rio TURISMO
-22.919781 -43.193275,JOE HOT CHOPPERS
-22.9231387 -43.1840238,A. S. ALPHYNE COMÉRCIO E REPRESENTAÇÕES LTDA
-22.92133549999999 -43.18528750000001,1ª Igreja Batista em Santa Tereza
-22.923149 -43.18852819999999,Casa Aurea Pousada Boutique
-22.9250519 -43.1819614,Traduzindo Ideias
-22.9142492 -43.183311,Americanas Express
-22.913457 -43.18103999999999,Posto Shell - Posto Catedral Ltda
-22.9143971 -43.1830398,Leader
-22.9150752 -43.1877534,Drogarias Pacheco
-22.9241287 -43.1928563,serviços de eletricidade
-22.913476 -43.186654,VX Sistemas Hidráulicos Computadorizados
-22.9154126 -43.1816475,Clube das Flores Entrega de Flores Naturais
-22.9135565 -43.1816539,Club Flower decorations and Events
-22.922428 -43.18071299999999,Roberto Cattan
-22.9150776 -43.1876425,Colchões Ortobom
-22.9147129 -43.18928340000001,Regina Coiffeur Unissex
-22.912713 -43.1832661,Ferragens Couso Ltda
-22.9142143 -43.1883931,Ferragens e Tintas
-22.9152595 -43.1816592,Hospital Base Samoc
-22.914011 -43.1814235,Dermatologia
-22.914011 -43.1814235,Pneumologia
-22.914011 -43.1814235,Proctologia
-22.9139919 -43.18154209999999,Hospital da Ordem do Carmo
-22.9245703 -43.1897122,Casa De Saúde Saint Roman
-22.9163652 -43.188379,Lavanderia Fátima
-22.9138637 -43.18184289999999,Farias Ribeiro Comercio de Bebidas Ltda
-22.914929 -43.1869078,leas mesas ecadeiras aluguel
-22.9149489 -43.18866909999999,Chaveiro Max
-22.9147813 -43.1885258,L.M. Cabral Chaveiro 24 horas
-22.9151738 -43.18750259999999,Hotel Monte Alegre
-22.9145681 -43.182605,Books Hostel
-22.91638 -43.1833103,Bossa in Rio Hostel
-22.9165384 -43.1831796,Rio Forest Hostel
-22.914844 -43.186453,Pizza Vip
-22.9212256 -43.1852224,Sushi Sim !
-22.924951 -43.1900386,Devorarte Food Truck
-22.920572 -43.190128,Filmes na Web
-22.9205589 -43.1928274,Mudanças e Guarda Móveis Santa Tereza
-22.9234662 -43.1922326,JJ Fretes e Mudanças
-22.9154358 -43.1866913,Hole Lacraia
-22.9133845 -43.18132809999999,Pub Kriok
-22.9134117 -43.18114569999999,La Esquina
-22.9131527 -43.182378,Up House Night Club
-22.9129701 -43.18344679999999,Karaokê Show Bar
-22.9122625 -43.1822127,Spaço Fractal
-22.9158422 -43.1880716,Estacionamento Fátima
-22.921464 -43.185725,Pharmácia Santa Teresa
-22.9213949 -43.192915,João batista serviços
-22.9243309 -43.1872043,7th Police Station
-22.912449 -43.1817292,DECRADI - Delegacia de Crimes Raciais e Delitos de Intolerância
-22.9201706 -43.189359,Instituto Nossa Senhora do Monte Calvário
-22.9218174 -43.1809025,Escola Solnascente
-22.9207014 -43.1811301,Escola de Capoeira Angola Renascer
-22.9167673 -43.18672369999999,Colégio Costa Ferreira
-22.9215196 -43.18781049999999,Le Spa
-22.9146938 -43.1855559,Disk Água e gelo no centro
-22.9130959 -43.18623660000001,Transportadora Fátima
-22.9244546 -43.1874335,Big Market Supermercados
-22.9144425 -43.1872734,Supermercados Mundial
-22.9146317 -43.1886483,Supermarkets Mega Market
-22.91882 -43.1832201,Largo do Curvelo
-22.9207712 -43.18486310000001,Rua Almirante Alexandrino próximo ao 306
-22.9248298 -43.1874647,Rio Turismo Radical
-22.9211682 -43.1868623,Quero Voo Viagens e Turismo
