Latitude-longitude information,Name 
-22.9354907 -43.1897828,Escritorio Contábil Maximino
-22.93066769999999 -43.1812771,Bob Cunha
-22.9323614 -43.1819098,Banco24Horas
-22.9279602 -43.1807701,Ateliê das Unhas Layla Gonçalves
-22.9352778 -43.1880556,Distac
-22.9344139 -43.1871258,Biany Automóveis
-22.934271 -43.18189199999999,Tivo
-22.9356359 -43.18385799999999,Shell Helix
-22.931294 -43.1808698,Auto Flor de Laranjeiras
-22.9307701 -43.1812428,Igreja Messiânica Mundial do Brasil - Laranjeiras
-22.9318878 -43.1810051,Igreja Internacional da Graça de Deus
-22.9312363 -43.1814203,Instituto Municipal de Urbanismo Pereira Passos - IPP
-22.9350193 -43.1854789,Prefeitura da Cidade do Rio de Janeiro
-22.9312649 -43.1813507,Rio Saúde
-22.9321861 -43.1814862,TH Lumar
-22.932394 -43.18181699999999,Ipiranga - Posto Dom Pedro II
-22.9357271 -43.1838405,Shell Select
-22.9312976 -43.1814804,24hDentist
-22.9342753 -43.1807032,Drogarias Tambaú
-22.9336158 -43.1857423,Droga Raia
-22.933629 -43.1859663,Drogaria Cristal
-22.9322637 -43.1823357,Paolo B Monti Consultoria
-22.9334867 -43.1848859,Flores Laranjeiras
-22.9334506 -43.1814013,MinD Laranjeiras
-22.9357402 -43.1838815,Posto Shell - Posto Palacio Guanabara Ltda
-22.9327513 -43.1844824,Lifecare - Aesthetic Clinic
-22.9354109 -43.1868089,Clinical Enio Serra
-22.9319906 -43.1815598,Hospital Rio Laranjeiras
-22.9329015 -43.1851793,Maternidade Escola da UFRJ
-22.9366729 -43.1809021,Centro Médico Paysandu
-22.9263191 -43.1811341,Igreja Universal do Reino de Bass
-22.9357606 -43.1892254,LAVAMAX LAVANDERIA
-22.93860069999999 -43.183344,Advocacia Ramos
-22.9326862 -43.1827907,Wine & Point
-22.9354534 -43.1838521,Beba Hush
-22.9307791 -43.18165870000001,IRPH
-22.9342258 -43.1850461,Municipal Urban Planning Bureau
-22.93339259999999 -43.1855388,Chaveiro das Laranjeiras
-22.9330838 -43.1833734,Pizzaria do Bairro
-22.93213979999999 -43.1817107,Boomerang Mix
-22.9338735 -43.1861886,|Mudanças Residenciais RJ Laranjeiras, Copacabana, Leblon, Ipanema, Tijuca, Méier, Barra da Tijuca|
-22.9329878 -43.1844607,Praça Carlo Del Prete
-22.932775 -43.18438400000001,Pet Studio
-22.9327513 -43.1844824,Turma da Lica Pet Shop
-22.9324195 -43.18065349999999,Bioderme Farmácia de Manipulação
-22.92830259999999 -43.1840442,Police Special Operations Battalion
-22.9366467 -43.1834537,Colégio Divertivendo
-22.9326583 -43.1826546,Vegetariano Social Clube
-22.9314888 -43.18199259999999,Aurya Pires
-22.9314773 -43.18137,Novo Pé
-22.9326018 -43.1805937,Ótica EVIDENCE - loja 18
-22.9328145 -43.183371,Rua das Laranjeiras
-22.9333111 -43.1839562,Galeria Condorcet
-22.9359365 -43.180661,Light Sunflower Holistic Spa
-22.9336111 -43.18583329999999,Hortifruti
-22.9345866 -43.18813859999999,Fuji
-22.9335971 -43.1862485,Princesa Supermercados - Laranjeiras
-22.931569 -43.181531,Sinagoga Beit - Aron
-22.930667 -43.1880813,Táxi Pereira da Silva
-22.9337556 -43.1827751,Rios de Historia Tour
-22.9332067 -43.18472999999999,FTM Eventos E Turismo
-22.929655 -43.1892992,B&C Cenários e Equipamentos
-22.9361009 -43.1826239,Curso de Didática
-22.9321534 -43.18191399999999,Clinica Veterinaria vet care
-22.932163 -43.181843,M.V.Marcello Miranda
-22.932865 -43.1832369,VET POP LARANJEIRAS
-22.9332067 -43.18472999999999,Homeopatia Dr. Fernando Diego P. Moreira
